Index,Exec_time,stride
8,1135,8
16,269,8
24,270,8
32,270,8
40,474,8
48,444,8
56,445,8
64,440,8
72,455,8
80,440,8
88,446,8
96,712,8
104,717,8
112,732,8
120,754,8
128,700,8
136,444,8
144,439,8
152,441,8
160,441,8
168,445,8
176,614,8
184,445,8
192,440,8
200,441,8
208,443,8
216,446,8
224,444,8
232,444,8
240,440,8
248,441,8
256,443,8
264,550,8
272,448,8
280,450,8
288,448,8
296,452,8
304,449,8
312,451,8
320,448,8
328,450,8
336,449,8
344,455,8
352,514,8
360,452,8
368,448,8
376,449,8
384,448,8
392,450,8
400,448,8
408,447,8
416,447,8
424,451,8
432,451,8
440,495,8
448,446,8
456,449,8
464,450,8
472,454,8
480,451,8
488,451,8
496,448,8
504,448,8
512,449,8
520,439,8
528,508,8
536,438,8
544,438,8
552,441,8
560,438,8
568,441,8
576,436,8
584,435,8
592,436,8
600,440,8
608,436,8
616,438,8
624,433,8
632,435,8
640,435,8
648,441,8
656,436,8
664,457,8
672,437,8
680,439,8
688,438,8
696,441,8
704,435,8
712,435,8
720,435,8
728,439,8
736,436,8
744,438,8
752,432,8
760,436,8
768,436,8
776,443,8
784,438,8
792,440,8
800,492,8
808,443,8
816,443,8
824,443,8
832,440,8
840,439,8
848,438,8
856,444,8
864,442,8
872,444,8
880,439,8
888,594,8
896,441,8
904,444,8
912,438,8
920,440,8
928,440,8
936,444,8
944,441,8
952,444,8
960,440,8
968,441,8
976,575,8
984,443,8
992,442,8
1000,442,8
1008,439,8
1016,440,8
1024,439,8
1032,440,8
1040,436,8
1048,435,8
1056,435,8
1064,539,8
1072,437,8
1080,438,8
1088,435,8
1096,430,8
1104,429,8
1112,435,8
1120,432,8
1128,435,8
1136,430,8
1144,429,8
1152,430,8
1160,440,8
1168,436,8
1176,437,8
1184,437,8
1192,439,8
1200,524,8
1208,439,8
1216,435,8
1224,430,8
1232,431,8
1240,434,8
1248,431,8
1256,432,8
1264,428,8
1272,430,8
1280,430,8
1288,437,8
1296,430,8
1304,433,8
1312,430,8
1320,437,8
1328,433,8
1336,545,8
1344,432,8
1352,428,8
1360,428,8
1368,432,8
1376,431,8
1384,430,8
1392,426,8
1400,429,8
1408,428,8
1416,435,8
1424,430,8
1432,432,8
1440,433,8
1448,437,8
1456,434,8
1464,436,8
1472,562,8
1480,428,8
1488,428,8
1496,433,8
1504,431,8
1512,432,8
1520,429,8
1528,428,8
1536,428,8
1544,443,8
1552,440,8
1560,440,8
1568,440,8
1576,444,8
1584,442,8
1592,445,8
1600,440,8
1608,510,8
1616,437,8
1624,442,8
1632,439,8
1640,439,8
1648,436,8
1656,436,8
1664,435,8
1672,444,8
1680,440,8
1688,440,8
1696,607,8
1704,444,8
1712,443,8
1720,444,8
1728,440,8
1736,437,8
1744,438,8
1752,441,8
1760,440,8
1768,440,8
1776,435,8
1784,435,8
1792,437,8
1800,442,8
1808,438,8
1816,439,8
1824,439,8
1832,444,8
1840,440,8
1848,441,8
1856,436,8
1864,435,8
1872,435,8
1880,439,8
1888,438,8
1896,438,8
1904,434,8
1912,436,8
1920,435,8
1928,441,8
1936,438,8
1944,438,8
1952,438,8
1960,441,8
1968,454,8
1976,442,8
1984,436,8
1992,435,8
2000,437,8
2008,439,8
2016,436,8
2024,437,8
2032,433,8
2040,433,8
2048,435,8
2056,594,8
2064,430,8
2072,431,8
2080,431,8
2088,436,8
2096,433,8
2104,434,8
2112,431,8
2120,427,8
2128,428,8
2136,430,8
2144,432,8
2152,430,8
2160,428,8
2168,429,8
2176,427,8
2184,435,8
2192,556,8
2200,433,8
2208,432,8
2216,438,8
2224,435,8
2232,437,8
2240,433,8
2248,427,8
2256,427,8
2264,431,8
2272,432,8
2280,432,8
2288,427,8
2296,429,8
2304,434,8
2312,439,8
2320,435,8
2328,619,8
2336,437,8
2344,440,8
2352,439,8
2360,438,8
2368,434,8
2376,432,8
2384,430,8
2392,434,8
2400,434,8
2408,431,8
2416,601,8
2424,430,8
2432,428,8
2440,439,8
2448,435,8
2456,435,8
2464,435,8
2472,441,8
2480,438,8
2488,437,8
2496,435,8
2504,430,8
2512,429,8
2520,434,8
2528,430,8
2536,432,8
2544,427,8
2552,532,8
2560,428,8
2568,442,8
2576,437,8
2584,438,8
2592,437,8
2600,442,8
2608,441,8
2616,441,8
2624,438,8
2632,436,8
2640,601,8
2648,440,8
2656,437,8
2664,437,8
2672,433,8
2680,434,8
2688,434,8
2696,441,8
2704,437,8
2712,437,8
2720,438,8
2728,609,8
2736,439,8
2744,440,8
2752,435,8
2760,434,8
2768,434,8
2776,438,8
2784,437,8
2792,438,8
2800,432,8
2808,434,8
2816,435,8
2824,444,8
2832,440,8
2840,440,8
2848,442,8
2856,444,8
2864,452,8
2872,443,8
2880,440,8
2888,437,8
2896,437,8
2904,440,8
2912,439,8
2920,439,8
2928,437,8
2936,438,8
2944,436,8
2952,622,8
2960,440,8
2968,440,8
2976,440,8
2984,447,8
2992,443,8
3000,445,8
3008,439,8
3016,436,8
3024,436,8
3032,440,8
3040,601,8
3048,439,8
3056,436,8
3064,435,8
3072,434,8
3080,449,8
3088,447,8
3096,449,8
3104,448,8
3112,452,8
3120,448,8
3128,596,8
3136,446,8
3144,449,8
3152,448,8
3160,454,8
3168,451,8
3176,452,8
3184,447,8
3192,452,8
3200,450,8
3208,451,8
3216,488,8
3224,449,8
3232,448,8
3240,450,8
3248,448,8
3256,451,8
3264,447,8
3272,449,8
3280,449,8
3288,454,8
3296,452,8
3304,508,8
3312,447,8
3320,452,8
3328,449,8
3336,444,8
3344,440,8
3352,441,8
3360,442,8
3368,446,8
3376,443,8
3384,447,8
3392,535,8
3400,442,8
3408,441,8
3416,446,8
3424,445,8
3432,444,8
3440,442,8
3448,441,8
3456,440,8
3464,443,8
3472,443,8
3480,568,8
3488,441,8
3496,445,8
3504,443,8
3512,447,8
3520,441,8
3528,442,8
3536,441,8
3544,448,8
3552,444,8
3560,444,8
3568,590,8
3576,440,8
3584,441,8
3592,442,8
3600,439,8
3608,439,8
3616,438,8
3624,443,8
3632,441,8
3640,442,8
3648,437,8
3656,586,8
3664,440,8
3672,444,8
3680,442,8
3688,441,8
3696,439,8
3704,440,8
3712,440,8
3720,443,8
3728,439,8
3736,440,8
3744,587,8
3752,443,8
3760,442,8
3768,442,8
3776,439,8
3784,440,8
3792,439,8
3800,446,8
3808,442,8
3816,441,8
3824,439,8
3832,574,8
3840,438,8
3848,440,8
3856,435,8
3864,437,8
3872,437,8
3880,439,8
3888,439,8
3896,441,8
3904,437,8
3912,435,8
3920,584,8
3928,439,8
3936,439,8
3944,438,8
3952,435,8
3960,437,8
3968,435,8
3976,440,8
3984,438,8
3992,438,8
4000,437,8
4008,603,8
4016,439,8
4024,442,8
4032,437,8
4040,436,8
4048,436,8
4056,441,8
4064,438,8
4072,439,8
4080,434,8
4088,435,8
4096,435,8
4104,444,8
4112,440,8
4120,441,8
4128,441,8
4136,445,8
4144,444,8
4152,446,8
4160,441,8
4168,440,8
4176,440,8
4184,445,8
4192,443,8
4200,444,8
4208,440,8
4216,442,8
4224,440,8
4232,549,8
4240,439,8
4248,440,8
4256,441,8
4264,444,8
4272,443,8
4280,446,8
4288,440,8
4296,441,8
4304,440,8
4312,445,8
4320,584,8
4328,445,8
4336,441,8
4344,444,8
4352,442,8
4360,450,8
4368,447,8
4376,451,8
4384,448,8
4392,453,8
4400,450,8
4408,525,8
4416,448,8
4424,449,8
4432,448,8
4440,452,8
4448,450,8
4456,451,8
4464,447,8
4472,447,8
4480,447,8
4488,451,8
4496,501,8
4504,450,8
4512,448,8
4520,453,8
4528,452,8
4536,451,8
4544,448,8
4552,448,8
4560,449,8
4568,454,8
4576,450,8
4584,522,8
4592,448,8
4600,450,8
4608,447,8
4616,438,8
4624,434,8
4632,436,8
4640,434,8
4648,440,8
4656,439,8
4664,437,8
4672,576,8
4680,436,8
4688,436,8
4696,441,8
4704,439,8
4712,440,8
4720,435,8
4728,438,8
4736,437,8
4744,438,8
4752,433,8
4760,435,8
4768,434,8
4776,439,8
4784,438,8
4792,437,8
4800,432,8
4808,487,8
4816,436,8
4824,441,8
4832,438,8
4840,439,8
4848,435,8
4856,438,8
4864,436,8
4872,442,8
4880,438,8
4888,441,8
4896,612,8
4904,444,8
4912,441,8
4920,445,8
4928,438,8
4936,439,8
4944,440,8
4952,445,8
4960,440,8
4968,442,8
4976,437,8
4984,603,8
4992,439,8
5000,443,8
5008,437,8
5016,441,8
5024,438,8
5032,442,8
5040,441,8
5048,442,8
5056,438,8
5064,438,8
5072,582,8
5080,445,8
5088,440,8
5096,443,8
5104,438,8
5112,439,8
5120,440,8
5128,432,8
5136,428,8
5144,428,8
5152,429,8
5160,543,8
5168,430,8
5176,434,8
5184,428,8
5192,434,8
5200,436,8
5208,439,8
5216,438,8
5224,440,8
5232,436,8
5240,435,8
5248,435,8
5256,432,8
5264,431,8
5272,429,8
5280,428,8
5288,434,8
5296,511,8
5304,433,8
5312,429,8
5320,438,8
5328,438,8
5336,440,8
5344,440,8
5352,440,8
5360,437,8
5368,435,8
5376,436,8
5384,431,8
5392,430,8
5400,428,8
5408,427,8
5416,432,8
5424,430,8
5432,586,8
5440,427,8
5448,432,8
5456,432,8
5464,439,8
5472,433,8
5480,434,8
5488,434,8
5496,432,8
5504,433,8
5512,431,8
5520,609,8
5528,429,8
5536,428,8
5544,431,8
5552,430,8
5560,433,8
5568,426,8
5576,433,8
5584,431,8
5592,437,8
5600,434,8
5608,435,8
5616,431,8
5624,432,8
5632,431,8
5640,439,8
5648,436,8
5656,550,8
5664,437,8
5672,441,8
5680,439,8
5688,441,8
5696,437,8
5704,442,8
5712,441,8
5720,447,8
5728,442,8
5736,444,8
5744,442,8
5752,442,8
5760,441,8
5768,439,8
5776,435,8
5784,438,8
5792,437,8
5800,441,8
5808,438,8
5816,441,8
5824,435,8
5832,441,8
5840,441,8
5848,446,8
5856,443,8
5864,444,8
5872,440,8
5880,614,8
5888,440,8
