Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,3020274,1024,676,100,81.84
2,3020685,1024,676,100,70.87
3,3020758,1024,676,100,37.57
4,3020844,1024,676,100,962.22
5,3021451,1024,676,100,1,193.92
6,3020545,1024,676,100,18.49
7,3020147,1024,676,100,3.12
8,3022164,1024,676,100,63.26
9,3020037,1024,676,100,729.24
10,3020970,1024,676,100,748.87
11,3022482,1024,676,100,6.91
12,3022178,1024,676,100,4.82
13,3020599,1024,676,100,29.88
14,3021954,1024,676,100,4.05
15,3021079,1024,676,100,8.91
16,3020407,1024,676,100,2.88
17,3021211,1024,676,100,28.02
18,3020919,1024,676,100,748.94
19,3020773,1024,676,100,517.62
20,3022239,1024,676,100,5.87
21,3021863,1024,676,100,5.18
22,3020452,1024,676,100,748.80
23,3021798,1024,676,100,3.97
24,3020126,1024,676,100,13.12
25,3021299,1024,676,100,203.58
26,3021339,1024,676,100,2.18
27,3020737,1024,676,100,33.81
28,3020567,1024,676,100,49.57
29,3021207,1024,676,100,48.82
30,3071307,1024,676,100,38.08
31,3021087,1024,676,100,17.30
32,3019979,1024,676,100,30.65
33,3020713,1024,676,100,19.52
34,3020211,1024,676,100,120.64
35,3021075,1024,676,100,65.73
36,3020312,1024,676,100,40.99
37,3020676,1024,676,100,3.93
38,3020952,1024,676,100,75.40
39,3020292,1024,676,100,78.44
40,3020841,1024,676,100,108.95
41,3020032,1024,676,100,11.22
42,3021759,1024,676,100,3.77
43,3022037,1024,676,100,19.33
44,3020635,1024,676,100,525.30
45,3021167,1024,676,100,52.68
46,3020795,1024,676,100,47.39
47,3020825,1024,676,100,4.22
48,3020744,1024,676,100,3.77
49,3021776,1024,676,100,91.31
50,3021080,1024,676,100,5.92
51,3021439,1024,676,100,22.08
52,3021097,1024,676,100,898.28
53,3021508,1024,676,100,11.09
54,3019679,1024,676,100,74.19
55,3020371,1024,676,100,1,210.08
56,3020816,1024,676,100,7.72
57,3020352,1024,676,100,151.86
58,3020350,1024,676,100,21.82
59,3020162,1024,676,100,777.43
60,3020249,1024,676,100,74.30
61,3020968,1024,676,100,4.54
62,3020438,1024,676,100,1,076.65
63,3021306,1024,676,100,66.73
64,3021808,1024,676,100,5.32
65,3020519,1024,676,100,83.79
66,3020148,1024,676,100,74.86
67,3031180,1024,676,100,43.96
68,3020134,1024,676,100,39.89
69,3020632,1024,676,100,77.45
70,3021169,1024,676,100,72.07
71,3020440,1024,676,100,2.63
72,3020612,1024,676,100,45.44
73,3020123,1024,676,100,2.73
74,3020179,1024,676,100,6.14
75,3019880,1024,676,100,132.11
76,3020812,1024,676,100,2.64
77,3019893,1024,676,100,2.60
78,3021244,1024,676,100,47.97
79,3021911,1024,676,100,60.43
80,3020423,1024,676,100,71.98
81,3020709,1024,676,100,332.33
82,3020644,1024,676,100,519.59
83,3021185,1024,676,100,64.95
84,3020979,1024,676,100,37.76
85,3021543,1024,676,100,4.42
86,3019627,1024,676,100,18.29
87,3021806,1024,676,100,3.07
88,3019950,1024,676,100,6.16
89,3022178,1024,676,100,25.51
90,3020620,1024,676,100,39.96
91,3021789,1024,676,100,6.75
92,3020502,1024,676,100,73.25
93,3021859,1024,676,100,10.05
94,3020489,1024,676,100,57.79
95,3020591,1024,676,100,17.00
96,3019998,1024,676,100,26.90
97,3021515,1024,676,100,8.84
98,3019906,1024,676,100,16.32
99,3020372,1024,676,100,69.89
100,3021405,1024,676,100,376.05
101,3021556,1024,676,100,4.50
102,3020157,1024,676,100,64.46
103,3021075,1024,676,100,6.80
104,3020744,1024,676,100,47.77
105,3021041,1024,676,100,81.59
106,3021020,1024,676,100,71.22
107,3023493,1024,676,100,3.03
108,3020533,1024,676,100,7.28
109,3020296,1024,676,100,12.28
110,3021158,1024,676,100,43.42
111,3020374,1024,676,100,25.86
112,3023950,1024,676,100,4.70
113,3020804,1024,676,100,39.52
114,3020146,1024,676,100,6.88
115,3026587,1024,676,100,128.56
116,3021477,1024,676,100,61.41
117,3020633,1024,676,100,77.15
118,3021641,1024,676,100,220.29
119,3020020,1024,676,100,62.44
120,3020536,1024,676,100,37.59
121,3021303,1024,676,100,61.33
122,3020554,1024,676,100,7.13
123,3021969,1024,676,100,7.10
124,3022362,1024,676,100,4.98
125,3020718,1024,676,100,7.01
126,3020823,1024,676,100,54.84
127,3022319,1024,676,100,1,210.63
128,3020918,1024,676,100,1,667.56
129,3021350,1024,676,100,95.02
130,3021641,1024,676,100,21.32
131,3019954,1024,676,100,537.99
132,3020334,1024,676,100,1,209.63
133,3021361,1024,676,100,242.80
134,3022355,1024,676,100,56.32
135,3020027,1024,676,100,748.60
136,3020839,1024,676,100,79.18
137,3021490,1024,676,100,267.48
138,3020936,1024,676,100,718.54
139,3020837,1024,676,100,5.96
140,3020236,1024,676,100,37.57
141,3020300,1024,676,100,17.50
142,3020619,1024,676,100,24.63
143,3020221,1024,676,100,10.04
144,3019573,1024,676,100,1,002.94
145,3020675,1024,676,100,17.80
146,3023197,1024,676,100,2.68
147,3021728,1024,676,100,1,056.80
148,3020173,1024,676,100,26.67
149,3022559,1024,676,100,157.92
150,3021006,1024,676,100,20.42
151,3020231,1024,676,100,30.17
152,3026858,1024,676,100,3.50
153,3021448,1024,676,100,14.25
154,3024765,1024,676,100,84.75
155,3020210,1024,676,100,68.82
156,3020919,1024,676,100,65.62
157,3022311,1024,676,100,26.07
158,3020834,1024,676,100,87.69
159,3020780,1024,676,100,76.27
160,3020999,1024,676,100,4.24
161,3020026,1024,676,100,1,573.14
162,3020323,1024,676,100,7.23
163,3020972,1024,676,100,18.43
164,3021493,1024,676,100,5.07
165,3020913,1024,676,100,21.91
166,3021678,1024,676,100,11.65
167,3020476,1024,676,100,34.05
168,3021764,1024,676,100,116.12
169,3020905,1024,676,100,62.73
170,3021307,1024,676,100,64.89
171,3021199,1024,676,100,197.04
172,3020443,1024,676,100,12.00
173,3020983,1024,676,100,3.66
174,3020024,1024,676,100,163.95
175,3019874,1024,676,100,68.09
176,3021366,1024,676,100,4.29
177,3020093,1024,676,100,2.99
178,3020603,1024,676,100,134.81
179,3022923,1024,676,100,4.23
180,3020918,1024,676,100,504.62
181,3020324,1024,676,100,417.66
182,3020601,1024,676,100,53.78
183,3021306,1024,676,100,43.43
184,3020956,1024,676,100,14.29
185,3020230,1024,676,100,24.18
186,3021114,1024,676,100,35.05
187,3021144,1024,676,100,52.73
188,3020428,1024,676,100,12.10
189,3021055,1024,676,100,129.51
190,3024666,1024,676,100,6.10
191,3020483,1024,676,100,42.58
192,3025057,1024,676,100,80.10
193,3020396,1024,676,100,70.71
194,3020551,1024,676,100,39.37
195,3023545,1024,676,100,12.90
196,3021337,1024,676,100,1,210.19
197,3020741,1024,676,100,531.68
198,3021248,1024,676,100,980.47
199,3021516,1024,676,100,25.93
200,3022099,1024,676,100,7.05
201,3021257,1024,676,100,73.90
202,3022288,1024,676,100,10.07
203,3020507,1024,676,100,21.77
204,3020867,1024,676,100,42.90
205,3020874,1024,676,100,7.09
206,3021778,1024,676,100,4.31
207,3020485,1024,676,100,102.88
208,3020965,1024,676,100,6.41
209,3019971,1024,676,100,7.48
210,3020111,1024,676,100,164.29
211,3019861,1024,676,100,13.16
212,3020033,1024,676,100,202.40
213,3020922,1024,676,100,64.81
214,3021024,1024,676,100,65.76
215,3021104,1024,676,100,110.25
216,3020975,1024,676,100,7.56
217,3021488,1024,676,100,65.70
218,3020889,1024,676,100,49.15
219,3021297,1024,676,100,34.25
220,3021029,1024,676,100,42.51
221,3020231,1024,676,100,26.07
222,3020774,1024,676,100,43.03
223,3019906,1024,676,100,49.54
224,3020480,1024,676,100,7.41
225,3020748,1024,676,100,71.57
226,3021295,1024,676,100,7.09
227,3021224,1024,676,100,71.83
228,3020246,1024,676,100,67.25
229,3021029,1024,676,100,12.24
230,3021243,1024,676,100,84.57
231,3020319,1024,676,100,2.45
232,3020558,1024,676,100,29.29
233,3021134,1024,676,100,2.48
234,3019896,1024,676,100,47.80
235,3020543,1024,676,100,2.20
236,3021434,1024,676,100,652.36
237,3025560,1024,676,100,6.05
238,3020941,1024,676,100,2,054.08
239,3020793,1024,676,100,6.56
240,3020453,1024,676,100,13.93
241,3020786,1024,676,100,1,922.72
242,3020770,1024,676,100,35.59
243,3020113,1024,676,100,74.57
244,3021261,1024,676,100,85.65
245,3020827,1024,676,100,34.15
246,3020662,1024,676,100,10.34
247,3020068,1024,676,100,4.52
248,3020106,1024,676,100,2,673.02
249,3020188,1024,676,100,77.02
250,3022355,1024,676,100,45.90
251,3020549,1024,676,100,23.19
252,3020213,1024,676,100,65.20
253,3026008,1024,676,100,113.73
254,3020857,1024,676,100,1,210.08
255,3019674,1024,676,100,11.00
256,3020533,1024,676,100,68.86
257,3021497,1024,676,100,14.35
258,3021487,1024,676,100,57.62
259,3020448,1024,676,100,144.20
260,3020250,1024,676,100,51.05
261,3021012,1024,676,100,46.87
262,3021962,1024,676,100,17.99
263,3020483,1024,676,100,19.26
264,3020799,1024,676,100,52.72
265,3020921,1024,676,100,29.01
266,3020253,1024,676,100,90.03
267,3020496,1024,676,100,38.04
268,3019668,1024,676,100,89.29
269,3019404,1024,676,100,81.17
270,3020806,1024,676,100,67.34
271,3020658,1024,676,100,872.52
272,3020869,1024,676,100,2.12
273,3020828,1024,676,100,68.99
274,3020121,1024,676,100,34.11
275,3020455,1024,676,100,39.90
276,3020348,1024,676,100,1,224.03
277,3019860,1024,676,100,26.53
278,3019669,1024,676,100,19.51
279,3020483,1024,676,100,789.27
280,3020518,1024,676,100,69.74
281,3019712,1024,676,100,73.34
282,3025193,1024,676,100,174.65
283,3020579,1024,676,100,127.14
284,3020088,1024,676,100,3.08
285,3022059,1024,676,100,4.88
286,3019562,1024,676,100,4.98
287,3021382,1024,676,100,23.52
288,3020775,1024,676,100,5.20
289,3021081,1024,676,100,22.54
290,3020286,1024,676,100,41.61
291,3019994,1024,676,100,44.82
292,3020619,1024,676,100,7.21
293,3021087,1024,676,100,24.77
294,3020742,1024,676,100,467.87
295,3020097,1024,676,100,47.40
296,3020815,1024,676,100,68.34
297,3020402,1024,676,100,2.17
298,3020524,1024,676,100,568.95
299,3020943,1024,676,100,54.60
300,3027556,1024,676,100,2.43
301,3019218,1024,676,100,7.81
302,3019898,1024,676,100,115.43
303,3020927,1024,676,100,17.48
304,3020936,1024,676,100,24.14
305,3020350,1024,676,100,29.79
306,3019469,1024,676,100,66.22
307,3019730,1024,676,100,95.00
308,3020864,1024,676,100,25.31
309,3020346,1024,676,100,2.44
310,3020810,1024,676,100,3.46
311,3020594,1024,676,100,28.69
312,3021607,1024,676,100,2.09
313,3020280,1024,676,100,748.80
314,3020189,1024,676,100,21.23
315,3021732,1024,676,100,771.04
316,3021003,1024,676,100,4.69
317,3020241,1024,676,100,35.86
318,3020482,1024,676,100,6.30
319,3021141,1024,676,100,27.14
320,3020943,1024,676,100,7.30
321,3021110,1024,676,100,141.49
322,3020702,1024,676,100,8.00
323,3020680,1024,676,100,12.14
324,3020421,1024,676,100,19.39
325,3022580,1024,676,100,12.14
