Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,17308579,1024,926,100,156853,277163
2,16254236,1024,926,100,152333,276651
3,15247839,1024,926,100,143033,269227
4,17307330,1024,926,100,162838,270763
5,15247467,1024,926,100,139638,8867
6,16260497,1024,926,100,141777,276267
7,17296154,1024,926,100,163353,277035
8,17316229,1024,926,100,146768,275883
9,17318979,1024,926,100,153449,269699
10,15286352,1024,926,100,121455,275627
11,17295516,1024,926,100,178181,270891
12,15247831,1024,926,100,138201,8611
13,17299770,1024,926,100,171110,276779
14,16281505,1024,926,100,136559,276011
15,15206883,1024,926,100,145451,6339
16,15230501,1024,926,100,150796,270379
17,16287385,1024,926,100,151641,269315
18,16258490,1024,926,100,153576,277123
19,16274021,1024,926,100,140199,276139
20,17306086,1024,926,100,148824,10019
21,17302619,1024,926,100,184318,270847
22,15243146,1024,926,100,154807,269739
23,16280997,1024,926,100,153379,277163
24,17308710,1024,926,100,161007,277035
25,15248675,1024,926,100,142947,269739
26,15217214,1024,926,100,142811,2595
27,16306455,1024,926,100,148129,269099
28,16257593,1024,926,100,168406,270379
29,17306511,1024,926,100,154426,276395
30,16268695,1024,926,100,151801,270379
31,17308794,1024,926,100,156757,279412
32,16272866,1024,926,100,150408,13924
33,15243944,1024,926,100,161297,271275
34,15285268,1024,926,100,149900,276395
35,17304497,1024,926,100,144400,8564
36,16266725,1024,926,100,130869,7971
37,17298744,1024,926,100,160914,276267
38,17305418,1024,926,100,162002,276084
39,17301384,1024,926,100,157142,277163
40,16258046,1024,926,100,140526,276907
41,16257125,1024,926,100,152229,276267
42,17311035,1024,926,100,161031,270891
43,16260385,1024,926,100,146846,276980
44,16263724,1024,926,100,141967,8792
45,15230260,1024,926,100,129744,277163
46,16268735,1024,926,100,153156,275883
47,16237927,1024,926,100,138803,273795
48,15217885,1024,926,100,141040,269227
49,17284209,1024,926,100,159749,270763
50,16249252,1024,926,100,151873,269355
51,15229587,1024,926,100,143173,270123
52,16255044,1024,926,100,147580,276011
53,17302052,1024,926,100,161932,282052
54,16270593,1024,926,100,143502,8995
55,15207227,1024,926,100,143556,1611
56,15246376,1024,926,100,124242,276651
57,16271148,1024,926,100,132231,276139
58,16274133,1024,926,100,135828,8611
59,17298972,1024,926,100,139089,276523
60,17308481,1024,926,100,138613,276395
61,17295438,1024,926,100,161519,1187
62,15230560,1024,926,100,135717,281836
63,16260504,1024,926,100,128973,276395
64,16276866,1024,926,100,154688,6398
65,15243251,1024,926,100,145823,277364
66,17309839,1024,926,100,149368,275971
67,16263520,1024,926,100,134747,275971
68,16255924,1024,926,100,153241,8827
69,17300817,1024,926,100,142202,275883
70,16259219,1024,926,100,150894,277620
71,16300135,1024,926,100,154399,269356
72,16273129,1024,926,100,153012,277240
73,16257101,1024,926,100,151506,270339
74,15231076,1024,926,100,131695,5027
75,16249594,1024,926,100,141195,276267
76,16251704,1024,926,100,147683,9763
77,16254805,1024,926,100,147072,276907
78,15228655,1024,926,100,149458,1443
79,16273216,1024,926,100,153055,276779
80,17304464,1024,926,100,138936,9475
81,17299982,1024,926,100,163351,276267
82,17298332,1024,926,100,164214,14308
83,16269532,1024,926,100,176307,2555
84,17309086,1024,926,100,151451,4996
85,16249132,1024,926,100,147985,276267
86,15228209,1024,926,100,123857,276779
