Index,Exec_time,stride,inner_cycle
0,16449368,1024,512
1,11908646,1024,512
2,11909494,1024,512
3,11909597,1024,512
4,11945056,1024,512
5,12355892,1024,512
6,12538392,1024,512
7,11909315,1024,512
8,11957278,1024,512
9,11908732,1024,512
10,12195686,1024,512
11,12491166,1024,512
12,12947392,1024,512
13,12191554,1024,512
14,11922504,1024,512
15,11968794,1024,512
16,12186374,1024,512
17,11918662,1024,512
18,12202787,1024,512
19,12880895,1024,512
20,11979666,1024,512
21,12173632,1024,512
22,12213191,1024,512
23,12198060,1024,512
24,12193490,1024,512
25,11915739,1024,512
26,11916617,1024,512
27,11919334,1024,512
28,12187995,1024,512
29,11968465,1024,512
30,11920692,1024,512
31,11919282,1024,512
32,11919543,1024,512
33,11915599,1024,512
34,12353064,1024,512
35,12191534,1024,512
36,12199496,1024,512
37,11945821,1024,512
38,11968891,1024,512
39,11920016,1024,512
40,11909639,1024,512
41,12420080,1024,512
42,11909850,1024,512
43,11909749,1024,512
44,12188435,1024,512
45,11909504,1024,512
46,12130016,1024,512
47,11968133,1024,512
48,11908845,1024,512
49,12218735,1024,512
50,11923317,1024,512
51,11922970,1024,512
52,11932951,1024,512
53,11923063,1024,512
54,11987187,1024,512
55,11932759,1024,512
56,11924825,1024,512
57,11923523,1024,512
58,11922753,1024,512
59,11923193,1024,512
60,11923028,1024,512
61,11922614,1024,512
62,11922339,1024,512
63,11922500,1024,512
64,11987218,1024,512
65,11934444,1024,512
66,11923475,1024,512
67,11933655,1024,512
68,11931215,1024,512
69,11932508,1024,512
70,11896886,1024,512
71,12217412,1024,512
72,11897417,1024,512
73,12173493,1024,512
74,11896545,1024,512
75,11886868,1024,512
76,11887807,1024,512
77,11887698,1024,512
78,11887432,1024,512
79,11940931,1024,512
80,11897754,1024,512
81,11897238,1024,512
82,11977298,1024,512
83,12149182,1024,512
84,11927057,1024,512
85,11890606,1024,512
86,11900296,1024,512
87,12556043,1024,512
88,11904166,1024,512
89,11900714,1024,512
90,11944534,1024,512
91,11902774,1024,512
92,12177513,1024,512
93,11901238,1024,512
