Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,2800751,1024,626,100,47.47
2,2800489,1024,626,100,39.04
3,2800200,1024,626,100,51.08
4,2800845,1024,626,100,5.35
5,2800250,1024,626,100,10.96
6,2800444,1024,626,100,69.21
7,2800114,1024,626,100,5.90
8,2799480,1024,626,100,51.90
9,2799789,1024,626,100,32.12
10,2801148,1024,626,100,3.81
11,2800329,1024,626,100,50.65
12,2800312,1024,626,100,7.01
13,2801727,1024,626,100,16.01
14,2799735,1024,626,100,5.61
15,2800912,1024,626,100,9.32
16,2799177,1024,626,100,11.66
17,2800329,1024,626,100,35.23
18,2800727,1024,626,100,15.70
19,2800813,1024,626,100,6.93
20,2800733,1024,626,100,7.70
21,2799755,1024,626,100,38.65
22,2799014,1024,626,100,4.04
23,2800504,1024,626,100,4.33
24,2801004,1024,626,100,1,225.14
25,2801048,1024,626,100,69.19
26,2800251,1024,626,100,23.00
27,2800054,1024,626,100,31.52
28,2799163,1024,626,100,18.94
29,2800697,1024,626,100,12.54
30,2800877,1024,626,100,4.76
31,2799490,1024,626,100,12.06
32,2799770,1024,626,100,23.18
33,2800418,1024,626,100,5.83
34,2799312,1024,626,100,18.04
35,2799729,1024,626,100,10.43
36,2800277,1024,626,100,24.22
37,2800560,1024,626,100,69.66
38,2799562,1024,626,100,16.59
39,2803542,1024,626,100,37.74
40,2800851,1024,626,100,90.70
41,2799517,1024,626,100,5.84
42,2799406,1024,626,100,40.27
43,2799947,1024,626,100,23.40
44,2800370,1024,626,100,22.06
45,2800250,1024,626,100,6.66
46,2800480,1024,626,100,8.23
47,2800441,1024,626,100,3.67
48,2800203,1024,626,100,6.59
49,2800563,1024,626,100,97.03
50,2800413,1024,626,100,16.42
51,2800732,1024,626,100,10.96
52,2800146,1024,626,100,43.39
53,2800246,1024,626,100,19.98
54,2799469,1024,626,100,14.10
55,2799420,1024,626,100,19.14
56,2800265,1024,626,100,12.32
57,2800629,1024,626,100,8.32
58,2800675,1024,626,100,11.38
59,2799850,1024,626,100,4.38
60,2801499,1024,626,100,47.68
61,2800222,1024,626,100,6.85
62,2799802,1024,626,100,4.09
