Index,Exec_time,addr,GPU_addr
1,3659.252930,0x7f038e000000,0x7f028c000000
2,3657.510498,0x7fd512000000,0x7fd40a000000
3,3659.547852,0x7fb78e000000,0x7fb686000000
4,3670.291748,0x7f4f9e000000,0x7f4e9c000000
5,3661.795654,0x7f5c62000000,0x7f5b5a000000
6,3656.841064,0x7f6bc8000000,0x7f6ac0000000
7,3653.731445,0x7f9276000000,0x7f916e000000
8,3645.374268,0x7ff1ae000000,0x7ff0a6000000
9,3663.885254,0x7f0bee000000,0x7f0ae6000000
10,3661.445557,0x7fe442000000,0x7fe33a000000
11,3668.042725,0x7fd720000000,0x7fd618000000
12,3660.500977,0x7f6ba0000000,0x7f6a9e000000
13,3667.399414,0x7fe570000000,0x7fe46e000000
14,3660.282715,0x7fca7e000000,0x7fc976000000
15,3663.281250,0x7ff140000000,0x7ff03e000000
16,3664.931885,0x7f9dfc000000,0x7f9cfa000000
17,3664.448242,0x7f6ece000000,0x7f6dc6000000
18,3666.356934,0x7fe42e000000,0x7fe326000000
19,3659.159912,0x7ff7c0000000,0x7ff6be000000
20,3665.318848,0x7f208c000000,0x7f1f84000000
21,3664.541992,0x7f9e08000000,0x7f9d06000000
22,3667.085693,0x7f35a0000000,0x7f349e000000
23,3667.605713,0x7fe58e000000,0x7fe48c000000
24,3659.760254,0x7f3a22000000,0x7f391a000000
25,3665.270996,0x7f19b6000000,0x7f18b4000000
26,3665.795654,0x7f08e0000000,0x7f07d8000000
27,3656.430664,0x7f29a0000000,0x7f289e000000
28,3659.981934,0x7f706e000000,0x7f6f66000000
29,3665.562988,0x7f1b20000000,0x7f1a18000000
30,3659.341309,0x7f9482000000,0x7f9380000000
31,3663.955078,0x7f96f8000000,0x7f95f0000000
32,3661.469482,0x7f2790000000,0x7f268e000000
33,3658.626221,0x7fa5c2000000,0x7fa4ba000000
34,3666.751709,0x7fe3ae000000,0x7fe2a6000000
35,3675.477539,0x7f773e000000,0x7f763c000000
36,3675.611084,0x7effa2000000,0x7efea0000000
37,3671.451172,0x7f14ca000000,0x7f13c8000000
38,3667.703857,0x7f6592000000,0x7f648a000000
39,3669.532959,0x7fd07e000000,0x7fcf76000000
40,3666.020752,0x7f7998000000,0x7f7896000000
41,3669.591309,0x7f75b2000000,0x7f74aa000000
42,3675.267334,0x7fb33e000000,0x7fb23c000000
43,3675.070068,0x7f67ce000000,0x7f66c6000000
44,3670.152588,0x7fbafe000000,0x7fb9fc000000
45,3670.643799,0x7fd1d8000000,0x7fd0d6000000
46,3671.804199,0x7f5ece000000,0x7f5dc6000000
47,3674.542236,0x7f3f90000000,0x7f3e88000000
48,3676.976807,0x7fe466000000,0x7fe364000000
49,3671.368896,0x7f92e8000000,0x7f91e0000000
50,3669.925293,0x7fa928000000,0x7fa820000000
51,3675.541260,0x7fe28e000000,0x7fe18c000000
52,3669.343018,0x7fbdf0000000,0x7fbce8000000
53,3668.278564,0x7f2802000000,0x7f2700000000
54,3676.963379,0x7fb802000000,0x7fb6fa000000
55,3669.878662,0x7f6a0e000000,0x7f690c000000
56,3669.280029,0x7f5092000000,0x7f4f90000000
57,3669.342041,0x7f47a2000000,0x7f469a000000
58,3666.757324,0x7f3b72000000,0x7f3a70000000
59,3671.475098,0x7fa348000000,0x7fa246000000
60,3669.140137,0x7f0a06000000,0x7f0904000000
61,3674.411133,0x7fd1de000000,0x7fd0dc000000
62,3674.657227,0x7f113c000000,0x7f1034000000
63,3666.645508,0x7f6c90000000,0x7f6b88000000
64,3674.550537,0x7f971c000000,0x7f961a000000
65,3670.063232,0x7f0482000000,0x7f037a000000
66,3669.250732,0x7fcd92000000,0x7fcc8a000000
67,3668.920898,0x7f57a2000000,0x7f56a0000000
68,3672.437012,0x7fe4ee000000,0x7fe3ec000000
69,3668.160400,0x7f37e8000000,0x7f36e0000000
70,3668.850830,0x7ff5e0000000,0x7ff4d8000000
71,3672.737549,0x7f64b0000000,0x7f63ae000000
72,3676.717529,0x7f8842000000,0x7f873a000000
73,3665.503906,0x7fb0a8000000,0x7fafa6000000
74,3667.103027,0x7f6840000000,0x7f673e000000
75,3668.901611,0x7f8e02000000,0x7f8cfa000000
76,3675.907471,0x7fc2a8000000,0x7fc1a0000000
77,3673.346436,0x7f91a8000000,0x7f90a0000000
78,3670.350830,0x7fd742000000,0x7fd640000000
79,3668.950439,0x7fa1a8000000,0x7fa0a6000000
80,3666.653564,0x7f3862000000,0x7f3760000000
81,3670.123291,0x7f808e000000,0x7f7f8c000000
82,3675.456543,0x7f4978000000,0x7f4870000000
83,3667.770752,0x7f4598000000,0x7f4490000000
84,3669.882080,0x7f3582000000,0x7f3480000000
85,3669.225586,0x7fd3aa000000,0x7fd2a2000000
86,3664.117188,0x7f07b0000000,0x7f06a8000000
87,3667.279297,0x7fb68e000000,0x7fb58c000000
88,3673.705078,0x7f3672000000,0x7f356a000000
89,3670.069580,0x7f1868000000,0x7f1760000000
90,3666.122070,0x7f8410000000,0x7f8308000000
91,3680.807373,0x7f473e000000,0x7f463c000000
92,3674.556152,0x7f6888000000,0x7f6786000000
93,3671.182373,0x7f22e8000000,0x7f21e0000000
94,3667.543213,0x7f2348000000,0x7f2246000000
95,3668.349365,0x7f0de2000000,0x7f0cda000000
