Index,Exec_time,addr,GPU_addr
1,14926.392578,0x7f9e1e000000,0x7f9d1c000000
2,14835.507812,0x7f79ba000000,0x7f78b8000000
3,14805.208008,0x7f772e000000,0x7f762c000000
4,14800.733398,0x7f5212000000,0x7f5110000000
5,14809.945312,0x7f7970000000,0x7f7868000000
6,14900.925781,0x7f1fc8000000,0x7f1ec6000000
7,14900.294922,0x7f6ae4000000,0x7f69dc000000
8,15012.416992,0x7f77ba000000,0x7f76b8000000
9,14901.375977,0x7ff164000000,0x7ff060000000
10,14902.206055,0x7fe89a000000,0x7fe798000000
11,14902.091797,0x7fe52a000000,0x7fe428000000
12,14904.968750,0x7f685a000000,0x7f6756000000
13,15011.575195,0x7f4d4a000000,0x7f4c46000000
14,15009.956055,0x7fe91a000000,0x7fe818000000
15,14899.582031,0x7f247a000000,0x7f2378000000
16,15013.125977,0x7f4f44000000,0x7f4e42000000
17,14951.707031,0x7f7392000000,0x7f7290000000
18,14900.561523,0x7f1b1a000000,0x7f1a12000000
19,15010.186523,0x7fa684000000,0x7fa584000000
20,14900.883789,0x7feb94000000,0x7fea92000000
21,15014.071289,0x7fbc24000000,0x7fbb22000000
22,15012.094727,0x7fe0a4000000,0x7fdfa2000000
23,14901.702148,0x7f8de0000000,0x7f8cde000000
24,14902.440430,0x7f870e000000,0x7f860c000000
25,15011.146484,0x7f857e000000,0x7f847c000000
26,15010.155273,0x7fdb62000000,0x7fda5e000000
27,14900.500977,0x7fcff2000000,0x7fceee000000
28,15012.466797,0x7feaa0000000,0x7fe99c000000
29,14950.696289,0x7fa842000000,0x7fa740000000
30,15013.603516,0x7f1d54000000,0x7f1c50000000
31,15015.145508,0x7fdeca000000,0x7fddc6000000
32,14900.354492,0x7f7bf4000000,0x7f7aec000000
33,14899.569336,0x7f2e64000000,0x7f2d5c000000
34,14948.546875,0x7f1ca2000000,0x7f1ba0000000
35,14901.560547,0x7f8a50000000,0x7f894c000000
36,15012.067383,0x7f3872000000,0x7f376a000000
37,15011.689453,0x7fe250000000,0x7fe14c000000
38,15009.876953,0x7f10b2000000,0x7f0fb0000000
39,14951.439453,0x7f97e4000000,0x7f96e2000000
40,14948.981445,0x7f9c42000000,0x7f9b3a000000
41,15013.283203,0x7f553a000000,0x7f5438000000
42,15013.393555,0x7fe27e000000,0x7fe176000000
43,15011.915039,0x7fe89a000000,0x7fe798000000
44,14900.901367,0x7f47e0000000,0x7f46de000000
45,14951.352539,0x7efb54000000,0x7efa52000000
46,14899.627930,0x7f3934000000,0x7f382c000000
47,15010.448242,0x7f5784000000,0x7f5682000000
48,15015.774414,0x7f789a000000,0x7f7798000000
49,14901.746094,0x7f5c92000000,0x7f5b8a000000
50,14901.683594,0x7fc280000000,0x7fc178000000
51,14900.087891,0x7ff384000000,0x7ff282000000
52,14947.791016,0x7f57d0000000,0x7f56ce000000
53,14899.331055,0x7f2b00000000,0x7f29fc000000
54,14904.190430,0x7fb4ea000000,0x7fb3e8000000
55,15013.354492,0x7fb1b4000000,0x7fb0ac000000
56,14901.193359,0x7f8f72000000,0x7f8e70000000
57,14953.034180,0x7fabe0000000,0x7faade000000
58,15009.484375,0x7fa23e000000,0x7fa136000000
59,14900.382812,0x7f0b2a000000,0x7f0a22000000
60,15015.816406,0x7f40ea000000,0x7f3fe8000000
61,15012.065430,0x7fac30000000,0x7fab2e000000
62,14900.872070,0x7f652a000000,0x7f6422000000
63,15010.685547,0x7f9afa000000,0x7f99f2000000
64,14948.593750,0x7fe5e4000000,0x7fe4e2000000
65,14900.432617,0x7f258a000000,0x7f2488000000
66,15010.240234,0x7f73aa000000,0x7f72a8000000
67,14950.420898,0x7fd390000000,0x7fd288000000
68,14901.251953,0x7f38e2000000,0x7f37e0000000
69,15012.014648,0x7f9a70000000,0x7f9968000000
70,15013.329102,0x7f2fba000000,0x7f2eb8000000
71,15010.601562,0x7f8bc4000000,0x7f8ac2000000
72,15008.392578,0x7f9f62000000,0x7f9e5e000000
73,15015.752930,0x7f9452000000,0x7f9350000000
74,14949.526367,0x7f409a000000,0x7f3f92000000
75,14950.794922,0x7f1570000000,0x7f146e000000
76,15013.322266,0x7f4c12000000,0x7f4b10000000
77,15010.294922,0x7f359e000000,0x7f349c000000
78,15008.239258,0x7f23f4000000,0x7f22ec000000
79,14903.139648,0x7fa9da000000,0x7fa8d8000000
80,14901.053711,0x7fd4c0000000,0x7fd3be000000
81,15011.644531,0x7f1a82000000,0x7f197a000000
82,15011.303711,0x7f6c5c000000,0x7f6b58000000
83,15009.086914,0x7f9cbe000000,0x7f9bb6000000
84,14899.929688,0x7f611e000000,0x7f601a000000
85,15012.768555,0x7f809a000000,0x7f7f98000000
86,15013.417969,0x7f6f00000000,0x7f6df8000000
87,15011.671875,0x7f1e1a000000,0x7f1d12000000
88,15015.155273,0x7f5dd4000000,0x7f5ccc000000
89,14947.700195,0x7fcf7a000000,0x7fce78000000
90,14900.730469,0x7f0e40000000,0x7f0d3e000000
91,14953.026367,0x7f3464000000,0x7f3360000000
92,15010.953125,0x7f34ec000000,0x7f33e4000000
93,14901.408203,0x7f1064000000,0x7f0f62000000
94,14953.882812,0x7f9912000000,0x7f9810000000
95,15007.964844,0x7fbcf4000000,0x7fbbf4000000
96,14948.450195,0x7f9424000000,0x7f9322000000
97,15011.458984,0x7fbce2000000,0x7fbbda000000
98,15011.407227,0x7f8ffa000000,0x7f8ef8000000
99,15013.373047,0x7fbf80000000,0x7fbe7e000000
100,15014.340820,0x7f209a000000,0x7f1f96000000
101,15010.686523,0x7fe362000000,0x7fe260000000
102,14900.068359,0x7fc15a000000,0x7fc056000000
103,15011.993164,0x7f3750000000,0x7f364e000000
104,15011.683594,0x7f1ee2000000,0x7f1de0000000
105,14901.636719,0x7fe4de000000,0x7fe3d6000000
106,15013.773438,0x7f6d50000000,0x7f6c4e000000
107,14951.041016,0x7f65a4000000,0x7f649c000000
108,14900.446289,0x7f45c2000000,0x7f44c0000000
109,15008.928711,0x7fc5e0000000,0x7fc4d8000000
110,15008.696289,0x7f57c4000000,0x7f56c0000000
111,14949.962891,0x7fa8a2000000,0x7fa79a000000
112,15010.015625,0x7fe1e0000000,0x7fe0dc000000
113,15014.028320,0x7f0892000000,0x7f0790000000
114,15010.505859,0x7fcb98000000,0x7fca96000000
115,15010.212891,0x7f4880000000,0x7f477e000000
116,15009.763672,0x7f9cb4000000,0x7f9bb2000000
117,15011.380859,0x7fc220000000,0x7fc11c000000
118,14901.974609,0x7fb182000000,0x7fb080000000
119,14952.183594,0x7f9802000000,0x7f9700000000
120,14950.227539,0x7f2fa4000000,0x7f2e9c000000
121,15010.864258,0x7fba50000000,0x7fb948000000
122,15009.216797,0x7f1340000000,0x7f1238000000
123,14903.088867,0x7f312a000000,0x7f3028000000
124,14900.907227,0x7fd7a2000000,0x7fd69a000000
125,15012.134766,0x7f08d2000000,0x7f07d0000000
126,15014.781250,0x7f15da000000,0x7f14d6000000
127,15008.632812,0x7f6762000000,0x7f6660000000
128,14947.773438,0x7f7862000000,0x7f7760000000
129,15010.663086,0x7fe594000000,0x7fe492000000
130,14900.640625,0x7fc522000000,0x7fc420000000
131,14902.055664,0x7fc1be000000,0x7fc0bc000000
132,14952.412109,0x7f0cda000000,0x7f0bd8000000
133,15009.030273,0x7f3000000000,0x7f2efe000000
134,15009.263672,0x7f9454000000,0x7f9352000000
135,14902.317383,0x7fcc3a000000,0x7fcb38000000
136,15012.039062,0x7faada000000,0x7fa9d6000000
137,15011.643555,0x7fe644000000,0x7fe542000000
138,15012.756836,0x7f83aa000000,0x7f82a2000000
139,15010.211914,0x7faa8a000000,0x7fa982000000
140,15010.088867,0x7f606a000000,0x7f5f62000000
141,14900.568359,0x7f159c000000,0x7f1494000000
142,15014.120117,0x7fc8d2000000,0x7fc7d0000000
143,14902.466797,0x7efe6e000000,0x7efd6c000000
144,15011.420898,0x7f40fa000000,0x7f3ff2000000
145,15011.403320,0x7f4552000000,0x7f444a000000
146,14899.857422,0x7f9632000000,0x7f9530000000
147,14900.083008,0x7f8390000000,0x7f828e000000
148,14900.447266,0x7f2e44000000,0x7f2d42000000
149,14901.955078,0x7f3ec4000000,0x7f3dc4000000
150,15010.922852,0x7fbd82000000,0x7fbc80000000
151,14903.147461,0x7f948a000000,0x7f9388000000
152,15009.082031,0x7ff7b2000000,0x7ff6ae000000
153,14900.298828,0x7f403a000000,0x7f3f36000000
154,14899.782227,0x7f8e5a000000,0x7f8d56000000
155,14902.413086,0x7f5ee4000000,0x7f5de4000000
156,15011.652344,0x7ff222000000,0x7ff11a000000
157,15010.518555,0x7ff38a000000,0x7ff282000000
158,14902.072266,0x7f7334000000,0x7f7232000000
159,15009.825195,0x7f97d4000000,0x7f96d2000000
160,14900.603516,0x7f8f30000000,0x7f8e2e000000
161,15012.625977,0x7f6b82000000,0x7f6a80000000
162,15011.974609,0x7f6c62000000,0x7f6b5a000000
163,14900.748047,0x7f9ca2000000,0x7f9ba0000000
164,15012.104492,0x7f6b1a000000,0x7f6a18000000
165,15008.831055,0x7f9b7a000000,0x7f9a78000000
166,15009.166992,0x7fe380000000,0x7fe27e000000
167,14950.847656,0x7f2460000000,0x7f235e000000
168,15011.094727,0x7f61de000000,0x7f60dc000000
169,15010.338867,0x7fd8ba000000,0x7fd7b8000000
170,14951.977539,0x7f6f60000000,0x7f6e5e000000
171,15007.459961,0x7f5cf0000000,0x7f5be8000000
172,14948.501953,0x7f28c0000000,0x7f27bc000000
173,15013.704102,0x7f8ce4000000,0x7f8bdc000000
174,14903.009766,0x7fadc8000000,0x7facc6000000
175,15010.581055,0x7f6970000000,0x7f6868000000
176,14903.439453,0x7f4e84000000,0x7f4d82000000
177,14901.027344,0x7f97f2000000,0x7f96ea000000
178,14899.603516,0x7f4c7a000000,0x7f4b78000000
179,14902.215820,0x7fdbe2000000,0x7fdae0000000
180,14949.639648,0x7f7704000000,0x7f75fc000000
181,14950.444336,0x7f67d8000000,0x7f66d6000000
182,15015.156250,0x7f22fa000000,0x7f21f6000000
183,15011.959961,0x7fd7d2000000,0x7fd6d0000000
184,14949.595703,0x7f490a000000,0x7f4806000000
185,15010.069336,0x7efe44000000,0x7efd42000000
186,15009.301758,0x7f0f5a000000,0x7f0e52000000
187,15012.125000,0x7f0a9e000000,0x7f099a000000
188,14908.517578,0x7fe4e8000000,0x7fe3e6000000
189,15011.326172,0x7f3448000000,0x7f3346000000
190,15009.764648,0x7fec7a000000,0x7feb76000000
191,15009.134766,0x7f514a000000,0x7f5042000000
192,15012.268555,0x7fdd00000000,0x7fdbfc000000
193,14901.875000,0x7f87d0000000,0x7f86ce000000
194,14902.078125,0x7f36e4000000,0x7f35e2000000
195,15016.362305,0x7f82fc000000,0x7f81fa000000
196,15010.489258,0x7f5084000000,0x7f4f7c000000
197,14949.114258,0x7fd17a000000,0x7fd072000000
198,15011.104492,0x7fdcd4000000,0x7fdbd2000000
199,15013.804688,0x7f940a000000,0x7f9306000000
200,15012.228516,0x7fa0b2000000,0x7f9fae000000
201,14900.023438,0x7fc7c2000000,0x7fc6c0000000
202,14902.360352,0x7ffa3e000000,0x7ff93c000000
203,15010.000000,0x7f7d3c000000,0x7f7c3a000000
204,14948.026367,0x7feb12000000,0x7fea0a000000
205,14949.289062,0x7fef90000000,0x7fee8e000000
206,15013.395508,0x7f616e000000,0x7f6066000000
207,15011.238281,0x7fc8c2000000,0x7fc7c0000000
208,15010.437500,0x7fe750000000,0x7fe64c000000
209,15010.590820,0x7f4160000000,0x7f405e000000
210,15008.897461,0x7f6762000000,0x7f6660000000
211,15010.084961,0x7f9082000000,0x7f8f80000000
212,14904.619141,0x7fdfb4000000,0x7fdeb2000000
213,15011.469727,0x7f0e82000000,0x7f0d80000000
214,14950.188477,0x7f0bca000000,0x7f0ac2000000
215,14949.548828,0x7f2a6e000000,0x7f296a000000
216,15010.076172,0x7f6b10000000,0x7f6a0e000000
217,14953.011719,0x7f57da000000,0x7f56d8000000
218,15010.342773,0x7ff564000000,0x7ff45c000000
219,14901.413086,0x7fdc54000000,0x7fdb54000000
220,14951.300781,0x7f1650000000,0x7f1548000000
221,14901.708984,0x7f728a000000,0x7f7188000000
222,15009.003906,0x7f44b4000000,0x7f43b4000000
223,15008.369141,0x7fc77e000000,0x7fc67c000000
224,15009.662109,0x7fb9aa000000,0x7fb8a8000000
225,15012.125000,0x7f5040000000,0x7f4f3c000000
226,15012.382812,0x7f9240000000,0x7f913e000000
227,14907.831055,0x7f8224000000,0x7f8120000000
228,15010.584961,0x7fe642000000,0x7fe53a000000
229,15010.722656,0x7f9e9a000000,0x7f9d96000000
230,15012.640625,0x7efb82000000,0x7efa80000000
231,14902.333984,0x7fb510000000,0x7fb40e000000
232,15011.445312,0x7f9f72000000,0x7f9e6a000000
233,14950.463867,0x7f8340000000,0x7f823e000000
234,14901.511719,0x7f7c1a000000,0x7f7b12000000
235,14901.412109,0x7f86c4000000,0x7f85c2000000
236,15010.414062,0x7f296a000000,0x7f2868000000
237,14901.301758,0x7f873a000000,0x7f8636000000
238,14900.765625,0x7fe7ee000000,0x7fe6ec000000
239,14901.283203,0x7fd24e000000,0x7fd146000000
240,14950.271484,0x7ffa42000000,0x7ff940000000
241,14900.517578,0x7f2902000000,0x7f27fe000000
242,15008.201172,0x7fbc1c000000,0x7fbb1a000000
243,15009.557617,0x7f1962000000,0x7f185a000000
244,15010.946289,0x7f85a2000000,0x7f84a0000000
245,14951.494141,0x7fd40a000000,0x7fd302000000
246,15011.943359,0x7f3bca000000,0x7f3ac6000000
247,15009.293945,0x7f615e000000,0x7f605c000000
248,14903.112305,0x7faf42000000,0x7fae3a000000
249,14949.451172,0x7f1d92000000,0x7f1c90000000
250,14902.943359,0x7f1ea8000000,0x7f1da0000000
251,14900.310547,0x7f0644000000,0x7f0542000000
252,15010.965820,0x7f05c0000000,0x7f04be000000
253,15012.057617,0x7fdac4000000,0x7fd9c0000000
254,14900.705078,0x7f1d90000000,0x7f1c8e000000
255,14901.374023,0x7fe59a000000,0x7fe498000000
256,15009.083984,0x7f8162000000,0x7f8060000000
257,15014.008789,0x7f058a000000,0x7f0482000000
258,15012.319336,0x7f1964000000,0x7f1862000000
259,15012.279297,0x7f3870000000,0x7f3768000000
260,14949.424805,0x7f34ce000000,0x7f33ca000000
261,15009.286133,0x7fa85a000000,0x7fa758000000
