Index,Exec_time,addr,GPU_addr
1,875.839966,0x7f5870000000,0x7f5768000000
2,806.720032,0x7fba28000000,0x7fb920000000
3,796.800049,0x7f3f30000000,0x7f3e2e000000
4,794.559998,0x7ff57e000000,0x7ff476000000
5,804.800049,0x7fb560000000,0x7fb45e000000
6,795.840027,0x7f2490000000,0x7f238e000000
7,792.640015,0x7f0fd0000000,0x7f0ece000000
8,792.960022,0x7f4a32000000,0x7f4932000000
9,794.559998,0x7fdf8c000000,0x7fde8a000000
10,798.399963,0x7fcaa0000000,0x7fc99e000000
11,796.480042,0x7f9e08000000,0x7f9d00000000
12,820.479980,0x7fcf98000000,0x7fce96000000
13,801.599976,0x7f12ee000000,0x7f11e6000000
14,815.680054,0x7fb8c2000000,0x7fb7c0000000
15,797.759949,0x7f9970000000,0x7f986e000000
16,798.399963,0x7fed72000000,0x7fec70000000
17,961.280029,0x7fd1fe000000,0x7fd0fc000000
18,795.840027,0x7f3dd0000000,0x7f3cce000000
19,793.280029,0x7f3590000000,0x7f348e000000
20,803.840027,0x7feda2000000,0x7feca0000000
21,804.480042,0x7f9750000000,0x7f964e000000
22,802.559998,0x7f54ea000000,0x7f53e8000000
23,800.640015,0x7f1908000000,0x7f1806000000
24,833.280029,0x7f17c8000000,0x7f16c0000000
25,808.639954,0x7fad8e000000,0x7fac86000000
26,807.359985,0x7fc50e000000,0x7fc406000000
27,798.399963,0x7f3b42000000,0x7f3a3a000000
28,801.919983,0x7f33a0000000,0x7f3298000000
29,797.759949,0x7f5380000000,0x7f527e000000
30,807.679993,0x7fd2b2000000,0x7fd1aa000000
31,805.440002,0x7fdc30000000,0x7fdb28000000
32,875.839966,0x7fc918000000,0x7fc810000000
33,854.720032,0x7fbf12000000,0x7fbe10000000
34,803.520020,0x7fdc68000000,0x7fdb66000000
35,873.280029,0x7f666c000000,0x7f656a000000
36,828.159973,0x7f2052000000,0x7f1f4a000000
37,805.119995,0x7fd2ee000000,0x7fd1e6000000
38,813.760010,0x7f13a0000000,0x7f129e000000
39,810.239990,0x7f15e2000000,0x7f14da000000
40,801.599976,0x7fc210000000,0x7fc108000000
41,800.000000,0x7effbc000000,0x7efeba000000
42,783.679993,0x7fda5a000000,0x7fd958000000
43,808.319946,0x7f9cfc000000,0x7f9bfa000000
44,807.359985,0x7f7342000000,0x7f7240000000
45,805.760010,0x7f4bc2000000,0x7f4ac0000000
46,799.679993,0x7f3c0a000000,0x7f3b08000000
47,807.359985,0x7f22ee000000,0x7f21ec000000
48,879.359985,0x7f2698000000,0x7f2590000000
49,808.639954,0x7f5a52000000,0x7f594a000000
50,948.479980,0x7f88a8000000,0x7f87a6000000
51,807.040039,0x7f31c2000000,0x7f30ba000000
52,793.919983,0x7f48e2000000,0x7f47da000000
53,805.440002,0x7f4d8e000000,0x7f4c8c000000
54,806.080017,0x7f377c000000,0x7f367a000000
55,816.000000,0x7fb052000000,0x7faf50000000
56,801.919983,0x7f62dc000000,0x7f61da000000
57,803.520020,0x7fdcf8000000,0x7fdbf0000000
58,797.759949,0x7f71dc000000,0x7f70d4000000
59,811.520020,0x7fe390000000,0x7fe28e000000
60,807.359985,0x7f95f8000000,0x7f94f0000000
61,919.039978,0x7f90f8000000,0x7f8ff0000000
62,807.040039,0x7fd7b8000000,0x7fd6b6000000
63,861.440002,0x7fb2be000000,0x7fb1b6000000
64,817.919983,0x7fa422000000,0x7fa320000000
65,821.119995,0x7fedd2000000,0x7fecca000000
66,815.360046,0x7f2d8c000000,0x7f2c8a000000
67,818.239990,0x7fcf62000000,0x7fce60000000
68,809.279968,0x7fe872000000,0x7fe76a000000
69,798.399963,0x7fd768000000,0x7fd666000000
70,830.080017,0x7f35ec000000,0x7f34e4000000
71,798.079956,0x7f3e18000000,0x7f3d10000000
72,812.159973,0x7f03aa000000,0x7f02a2000000
73,823.679993,0x7f2bfe000000,0x7f2afc000000
74,784.320007,0x7f06ce000000,0x7f05c6000000
75,807.359985,0x7fef6c000000,0x7fee64000000
76,803.200012,0x7fb698000000,0x7fb590000000
77,1037.760010,0x7fade0000000,0x7facd8000000
78,796.800049,0x7fb3f2000000,0x7fb2ea000000
79,828.799988,0x7f4c82000000,0x7f4b7a000000
80,807.359985,0x7fd062000000,0x7fcf5a000000
81,813.119995,0x7f7dd2000000,0x7f7cca000000
82,802.239990,0x7f5bf2000000,0x7f5af0000000
83,863.360046,0x7f07ac000000,0x7f06a4000000
84,811.520020,0x7f6ca0000000,0x7f6b9e000000
85,803.520020,0x7f71cc000000,0x7f70ca000000
86,838.079956,0x7fcfb2000000,0x7fceb0000000
87,806.720032,0x7fc1d0000000,0x7fc0c8000000
