Index,Exec_time,addr,GPU_addr
1,80.063995,0x7f985e000000,0x7f9756000000
2,80.576004,0x7f26be000000,0x7f25b6000000
3,81.504005,0x7f7e20000000,0x7f7d18000000
4,81.855995,0x7fe598000000,0x7fe490000000
5,80.288002,0x7fb13e000000,0x7fb03c000000
6,79.584000,0x7f23d2000000,0x7f22ca000000
7,80.832001,0x7fd2a0000000,0x7fd19e000000
8,80.512001,0x7f9b18000000,0x7f9a16000000
9,81.216003,0x7f3f3e000000,0x7f3e3c000000
10,208.639999,0x7f1f28000000,0x7f1e26000000
11,81.344002,0x7f2f42000000,0x7f2e3a000000
12,79.839996,0x7fa722000000,0x7fa61a000000
13,80.223999,0x7f8370000000,0x7f826e000000
14,81.183998,0x7efb2e000000,0x7efa26000000
15,83.584000,0x7f4966000000,0x7f485e000000
16,81.248001,0x7fb682000000,0x7fb580000000
17,91.968002,0x7efcfe000000,0x7efbf6000000
18,86.623993,0x7fab2e000000,0x7faa26000000
19,81.120003,0x7f2ee0000000,0x7f2dde000000
20,80.959999,0x7fefa2000000,0x7fee9a000000
21,82.080002,0x7f75c0000000,0x7f74be000000
22,101.248001,0x7f6f8a000000,0x7f6e88000000
23,168.255997,0x7ff840000000,0x7ff73e000000
24,86.496002,0x7fcc1e000000,0x7fcb16000000
25,81.248001,0x7fdbce000000,0x7fdacc000000
26,96.671997,0x7fe608000000,0x7fe500000000
27,81.600006,0x7fa0f2000000,0x7f9fea000000
28,83.839996,0x7fec68000000,0x7feb66000000
29,82.176003,0x7f31c2000000,0x7f30ba000000
30,85.888000,0x7fa07e000000,0x7f9f76000000
31,81.248001,0x7f9080000000,0x7f8f7e000000
32,82.143997,0x7f7870000000,0x7f7768000000
33,82.208000,0x7f2f7e000000,0x7f2e76000000
34,83.040001,0x7f8600000000,0x7f84fe000000
35,81.440002,0x7fa4be000000,0x7fa3b6000000
36,80.543999,0x7f3d5e000000,0x7f3c5c000000
37,80.736000,0x7f5e28000000,0x7f5d26000000
38,78.400002,0x7f1962000000,0x7f1860000000
39,80.639999,0x7f9cb8000000,0x7f9bb0000000
40,80.576004,0x7f7932000000,0x7f7830000000
41,73.087997,0x7fa822000000,0x7fa71a000000
42,73.279999,0x7f3778000000,0x7f3670000000
43,73.568001,0x7f2bd8000000,0x7f2ad6000000
44,72.927994,0x7f17f2000000,0x7f16f0000000
45,73.728004,0x7fd6f8000000,0x7fd5f0000000
46,73.056000,0x7f44ee000000,0x7f43ec000000
47,73.887993,0x7f1382000000,0x7f127a000000
48,72.959999,0x7fa1c2000000,0x7fa0ba000000
49,79.903999,0x7f95f8000000,0x7f94f6000000
50,80.895996,0x7fbc1c000000,0x7fbb1a000000
51,72.639999,0x7f9d22000000,0x7f9c20000000
52,73.728004,0x7fa44c000000,0x7fa344000000
53,77.311996,0x7f7c30000000,0x7f7b2e000000
54,74.367996,0x7f265e000000,0x7f255c000000
55,76.000000,0x7f49ee000000,0x7f48ec000000
56,76.672005,0x7ff9d0000000,0x7ff8c8000000
57,74.271996,0x7ff0f2000000,0x7feff0000000
58,73.951996,0x7fb182000000,0x7fb07a000000
59,73.536003,0x7fa958000000,0x7fa850000000
60,74.944000,0x7f58e8000000,0x7f57e0000000
61,75.328003,0x7f3bd0000000,0x7f3ace000000
62,74.112000,0x7fa8fa000000,0x7fa7f2000000
63,73.919998,0x7ff062000000,0x7fef5a000000
64,73.215996,0x7f4ee2000000,0x7f4de0000000
65,73.152000,0x7f44e8000000,0x7f43e6000000
66,79.744003,0x7f85ac000000,0x7f84aa000000
67,73.536003,0x7f7178000000,0x7f7076000000
68,80.767998,0x7fd3e0000000,0x7fd2de000000
69,73.887993,0x7f127e000000,0x7f1176000000
70,73.215996,0x7f29a2000000,0x7f289a000000
71,74.335999,0x7fcd7e000000,0x7fcc7c000000
72,73.152000,0x7f155e000000,0x7f145c000000
73,80.031998,0x7f5c32000000,0x7f5b30000000
74,77.919998,0x7f72e2000000,0x7f71e0000000
75,74.047997,0x7f999c000000,0x7f9894000000
76,73.792000,0x7fcd96000000,0x7fcc8e000000
77,72.896004,0x7f0548000000,0x7f0440000000
78,73.407997,0x7f6eec000000,0x7f6dea000000
79,73.856003,0x7f5798000000,0x7f5696000000
80,73.248001,0x7f80d0000000,0x7f7fce000000
81,73.407997,0x7f34c2000000,0x7f33c0000000
82,73.664001,0x7f8f92000000,0x7f8e90000000
83,72.991997,0x7ff348000000,0x7ff240000000
84,73.215996,0x7fbdc0000000,0x7fbcb8000000
85,73.023994,0x7feca2000000,0x7feb9a000000
86,73.599998,0x7f457c000000,0x7f4474000000
87,72.639999,0x7f36ee000000,0x7f35ec000000
88,81.120003,0x7f1c3c000000,0x7f1b34000000
89,73.760002,0x7f3592000000,0x7f348a000000
90,73.311996,0x7f7678000000,0x7f7576000000
91,73.856003,0x7f6cbe000000,0x7f6bb6000000
92,73.152000,0x7f6590000000,0x7f648e000000
93,80.799995,0x7ffac2000000,0x7ff9c0000000
94,73.824005,0x7feb90000000,0x7fea88000000
95,72.896004,0x7f49dc000000,0x7f48d4000000
96,81.087997,0x7fc850000000,0x7fc74e000000
97,72.832001,0x7efc78000000,0x7efb70000000
98,73.568001,0x7f1988000000,0x7f1880000000
99,73.599998,0x7ff652000000,0x7ff550000000
100,71.199997,0x7f437c000000,0x7f4274000000
101,73.568001,0x7f4fe0000000,0x7f4ede000000
102,73.344002,0x7f90c8000000,0x7f8fc0000000
103,74.304001,0x7fd900000000,0x7fd7fe000000
104,73.792000,0x7f4a00000000,0x7f48fe000000
105,76.192001,0x7f3528000000,0x7f3426000000
106,73.023994,0x7fbcbc000000,0x7fbbba000000
107,72.959999,0x7fc268000000,0x7fc166000000
108,73.152000,0x7f77fe000000,0x7f76fc000000
109,73.568001,0x7f7392000000,0x7f728a000000
110,73.119995,0x7f7822000000,0x7f7720000000
111,71.360001,0x7f69e0000000,0x7f68d8000000
112,73.983994,0x7fdc82000000,0x7fdb82000000
113,72.320000,0x7f9c88000000,0x7f9b86000000
114,72.864006,0x7f2348000000,0x7f2240000000
115,73.536003,0x7fa812000000,0x7fa710000000
116,73.087997,0x7f1e78000000,0x7f1d76000000
117,73.536003,0x7f15cc000000,0x7f14ca000000
118,73.152000,0x7f3e42000000,0x7f3d40000000
119,72.480003,0x7f6fbe000000,0x7f6eb6000000
120,73.856003,0x7f5c9e000000,0x7f5b9c000000
121,72.768005,0x7f3c52000000,0x7f3b4a000000
122,73.056000,0x7f32c2000000,0x7f31c0000000
123,72.832001,0x7f34c8000000,0x7f33c0000000
124,73.887993,0x7fee6e000000,0x7fed66000000
125,74.560005,0x7f35b0000000,0x7f34a8000000
126,73.824005,0x7fdfc0000000,0x7fdebe000000
127,73.664001,0x7f4370000000,0x7f4268000000
128,73.311996,0x7f98b0000000,0x7f97ae000000
129,73.472000,0x7f0ae0000000,0x7f09de000000
130,79.680000,0x7fa038000000,0x7f9f30000000
131,72.896004,0x7f8c80000000,0x7f8b78000000
132,72.991997,0x7efb20000000,0x7efa18000000
133,74.879997,0x7fb192000000,0x7fb08a000000
134,82.015999,0x7f779c000000,0x7f769a000000
135,73.279999,0x7f8b3c000000,0x7f8a34000000
136,73.632004,0x7fcdf2000000,0x7fccf0000000
137,74.784004,0x7f05c0000000,0x7f04be000000
138,73.503998,0x7f3cd2000000,0x7f3bca000000
139,80.480003,0x7f4f30000000,0x7f4e2e000000
140,79.391998,0x7fdade000000,0x7fd9dc000000
141,69.983994,0x7fb918000000,0x7fb816000000
142,73.119995,0x7f5742000000,0x7f563a000000
143,73.375999,0x7f50b0000000,0x7f4fae000000
144,73.792000,0x7f3c52000000,0x7f3b4a000000
145,72.800003,0x7f3ba2000000,0x7f3aa0000000
146,72.832001,0x7f97b8000000,0x7f96b0000000
147,73.536003,0x7f849e000000,0x7f839c000000
148,72.927994,0x7f5f88000000,0x7f5e86000000
149,73.632004,0x7f0c98000000,0x7f0b96000000
150,73.375999,0x7fdb22000000,0x7fda20000000
151,73.983994,0x7f33c2000000,0x7f32c0000000
152,73.056000,0x7fce8e000000,0x7fcd86000000
153,72.959999,0x7f01d8000000,0x7f00d0000000
154,73.215996,0x7f074e000000,0x7f064c000000
155,80.223999,0x7fc048000000,0x7fbf40000000
156,72.704002,0x7fbd18000000,0x7fbc16000000
157,73.215996,0x7f36a6000000,0x7f359e000000
