ID,Exec_time
1,330.860718
2,352.552704
3,352.532898
4,351.621918
5,352.566223
6,352.554932
7,352.810944
8,352.536407
9,352.058044
10,353.322388
11,352.521912
12,352.043915
13,352.645721
14,351.978516
15,352.070557
16,352.571320
17,352.620392
18,352.513580
19,352.554291
20,352.616302
21,352.338898
22,352.584717
23,352.612610
24,352.068329
25,351.981842
26,350.702087
27,352.665833
28,352.592224
29,353.407867
30,352.593048
31,352.583588
32,352.938232
33,352.564148
34,352.562195
35,352.074432
36,351.938751
37,352.609100
38,352.164215
39,352.594971
40,352.438507
41,352.614777
42,352.589905
43,353.164124
44,352.059509
45,352.579010
46,352.030243
47,352.627838
48,353.168243
49,350.515167
50,352.544708
51,352.666443
52,352.056915
53,352.614014
54,353.049652
55,352.702240
56,351.131927
57,352.027588
58,352.640869
59,352.635559
60,352.020599
61,351.287567
62,353.762024
63,352.042145
64,352.498138
