KernelID,SMnum,Blocknum,BlockID,SMID,Start_time,End_time
1,2,16,0,0,15338.356445,65338.355469
1,2,16,1,1,15338.356445,65338.355469
1,2,16,2,0,15338.356445,65338.355469
1,2,16,3,1,15338.356445,65338.355469
1,2,16,4,0,15338.356445,65338.355469
1,2,16,5,1,15338.356445,65338.355469
1,2,16,6,0,15338.356445,65338.355469
1,2,16,7,1,15338.356445,65338.355469
1,2,16,8,0,15338.356445,65338.355469
1,2,16,9,1,15338.356445,65338.355469
1,2,16,10,0,15338.356445,65338.355469
1,2,16,11,1,15338.356445,65338.355469
1,2,16,12,0,15338.356445,65338.355469
1,2,16,13,1,15338.356445,65338.355469
1,2,16,14,0,15338.356445,65338.355469
1,2,16,15,1,15338.356445,65338.355469
2,2,48,0,0,65338.589844,115338.585938
2,2,48,1,1,65338.589844,115338.585938
2,2,48,2,0,65338.589844,115338.585938
2,2,48,3,1,65338.589844,115338.585938
2,2,48,4,0,65338.589844,115338.585938
2,2,48,5,1,65338.589844,115338.585938
2,2,48,6,0,65338.589844,115338.585938
2,2,48,7,1,65338.589844,115338.585938
2,2,48,8,0,65338.589844,115338.585938
2,2,48,9,1,65338.589844,115338.585938
2,2,48,10,0,65338.589844,115338.585938
2,2,48,11,1,65338.589844,115338.585938
2,2,48,12,0,65338.589844,115338.585938
2,2,48,13,1,65338.589844,115338.585938
2,2,48,14,0,65338.589844,115338.585938
2,2,48,15,1,65338.589844,115338.585938
2,2,48,16,0,65338.589844,115338.585938
2,2,48,17,1,65338.589844,115338.585938
2,2,48,18,0,65338.589844,115338.585938
2,2,48,19,1,65338.589844,115338.585938
2,2,48,20,0,65338.589844,115338.585938
2,2,48,21,1,65338.589844,115338.585938
2,2,48,22,0,65338.589844,115338.585938
2,2,48,23,1,65338.589844,115338.585938
2,2,48,24,0,65338.589844,115338.585938
2,2,48,25,1,65338.589844,115338.585938
2,2,48,26,0,65338.589844,115338.585938
2,2,48,27,1,65338.589844,115338.585938
2,2,48,28,0,65338.589844,115338.585938
2,2,48,29,1,65338.589844,115338.585938
2,2,48,30,0,65338.589844,115338.585938
2,2,48,31,1,65338.589844,115338.585938
2,2,48,32,1,115338.695312,165338.671875
2,2,48,33,1,115338.695312,165338.671875
2,2,48,34,0,115338.695312,165338.671875
2,2,48,35,0,115338.695312,165338.671875
2,2,48,36,0,115338.695312,165338.671875
2,2,48,37,0,115338.695312,165338.671875
2,2,48,38,1,115338.695312,165338.671875
2,2,48,39,1,115338.695312,165338.671875
2,2,48,40,0,115338.695312,165338.671875
2,2,48,41,0,115338.695312,165338.671875
2,2,48,42,1,115338.695312,165338.671875
2,2,48,43,1,115338.695312,165338.671875
2,2,48,44,0,115338.695312,165338.671875
2,2,48,45,1,115338.695312,165338.671875
2,2,48,46,0,115338.695312,165338.671875
2,2,48,47,1,115338.695312,165338.671875
3,2,96,0,0,165338.921875,215338.906250
3,2,96,1,0,165338.921875,215338.906250
3,2,96,2,1,165338.921875,215338.906250
3,2,96,3,1,165338.921875,215338.906250
3,2,96,4,0,165338.921875,215338.906250
3,2,96,5,0,165338.921875,215338.906250
3,2,96,6,1,165338.921875,215338.906250
3,2,96,7,1,165338.921875,215338.906250
3,2,96,8,0,165338.921875,215338.906250
3,2,96,9,0,165338.921875,215338.906250
3,2,96,10,1,165338.921875,215338.906250
3,2,96,11,1,165338.921875,215338.906250
3,2,96,12,0,165338.921875,215338.906250
3,2,96,13,0,165338.921875,215338.906250
3,2,96,14,1,165338.921875,215338.906250
3,2,96,15,1,165338.921875,215338.906250
3,2,96,16,0,165338.921875,215338.906250
3,2,96,17,0,165338.921875,215338.906250
3,2,96,18,1,165338.921875,215338.906250
3,2,96,19,1,165338.921875,215338.906250
3,2,96,20,0,165338.921875,215338.906250
3,2,96,21,0,165338.921875,215338.906250
3,2,96,22,1,165338.921875,215338.906250
3,2,96,23,1,165338.921875,215338.906250
3,2,96,24,0,165338.921875,215338.906250
3,2,96,25,0,165338.921875,215338.906250
3,2,96,26,1,165338.921875,215338.906250
3,2,96,27,1,165338.921875,215338.906250
3,2,96,28,0,165338.921875,215338.906250
3,2,96,29,0,165338.921875,215338.906250
3,2,96,30,1,165338.921875,215338.906250
3,2,96,31,1,165338.921875,215338.906250
3,2,96,32,0,215339.015625,265339.031250
3,2,96,33,0,215339.015625,265339.031250
3,2,96,34,1,215339.015625,265339.031250
3,2,96,35,1,215339.015625,265339.031250
3,2,96,36,0,215339.015625,265339.031250
3,2,96,37,0,215339.015625,265339.031250
3,2,96,38,0,215339.015625,265339.031250
3,2,96,39,1,215339.015625,265339.031250
3,2,96,40,0,215339.015625,265339.031250
3,2,96,41,1,215339.015625,265339.031250
3,2,96,42,1,215339.015625,265339.031250
3,2,96,43,0,215339.015625,265339.031250
3,2,96,44,1,215339.015625,265339.031250
3,2,96,45,0,215339.015625,265339.031250
3,2,96,46,1,215339.015625,265339.031250
3,2,96,47,1,215339.015625,265339.031250
3,2,96,48,1,215339.015625,265339.031250
3,2,96,49,0,215339.015625,265339.031250
3,2,96,50,1,215339.015625,265339.031250
3,2,96,51,1,215339.015625,265339.031250
3,2,96,52,0,215339.015625,265339.031250
3,2,96,53,0,215339.015625,265339.031250
3,2,96,54,1,215339.015625,265339.031250
3,2,96,55,1,215339.015625,265339.031250
3,2,96,56,1,215339.015625,265339.031250
3,2,96,57,1,215339.015625,265339.031250
3,2,96,58,0,215339.015625,265339.031250
3,2,96,59,0,215339.015625,265339.031250
3,2,96,60,1,215339.015625,265339.031250
3,2,96,61,0,215339.015625,265339.031250
3,2,96,62,0,215339.015625,265339.031250
3,2,96,63,0,215339.015625,265339.031250
3,2,96,64,0,265339.125000,315339.125000
3,2,96,65,0,265339.125000,315339.125000
3,2,96,66,1,265339.125000,315339.125000
3,2,96,67,0,265339.125000,315339.125000
3,2,96,68,1,265339.125000,315339.125000
3,2,96,69,0,265339.125000,315339.125000
3,2,96,70,0,265339.125000,315339.125000
3,2,96,71,0,265339.125000,315339.125000
3,2,96,72,1,265339.125000,315339.125000
3,2,96,73,0,265339.125000,315339.125000
3,2,96,74,1,265339.125000,315339.125000
3,2,96,75,1,265339.125000,315339.125000
3,2,96,76,1,265339.125000,315339.125000
3,2,96,77,1,265339.125000,315339.125000
3,2,96,78,0,265339.125000,315339.125000
3,2,96,79,1,265339.125000,315339.125000
3,2,96,80,0,265339.125000,315339.125000
3,2,96,81,1,265339.125000,315339.125000
3,2,96,82,1,265339.125000,315339.125000
3,2,96,83,0,265339.125000,315339.125000
3,2,96,84,0,265339.125000,315339.125000
3,2,96,85,0,265339.125000,315339.125000
3,2,96,86,1,265339.125000,315339.125000
3,2,96,87,1,265339.125000,315339.125000
3,2,96,88,0,265339.125000,315339.125000
3,2,96,89,1,265339.125000,315339.125000
3,2,96,90,0,265339.125000,315339.125000
3,2,96,91,1,265339.125000,315339.125000
3,2,96,92,0,265339.125000,315339.125000
3,2,96,93,1,265339.125000,315339.125000
3,2,96,94,1,265339.125000,315339.125000
3,2,96,95,0,265339.125000,315339.125000
4,2,160,0,0,315339.375000,365339.375000
4,2,160,1,0,315339.375000,365339.375000
4,2,160,2,1,315339.375000,365339.375000
4,2,160,3,1,315339.375000,365339.375000
4,2,160,4,0,315339.375000,365339.375000
4,2,160,5,0,315339.375000,365339.375000
4,2,160,6,1,315339.375000,365339.375000
4,2,160,7,1,315339.375000,365339.375000
4,2,160,8,0,315339.375000,365339.375000
4,2,160,9,0,315339.375000,365339.375000
4,2,160,10,1,315339.375000,365339.375000
4,2,160,11,1,315339.375000,365339.375000
4,2,160,12,0,315339.375000,365339.375000
4,2,160,13,0,315339.375000,365339.375000
4,2,160,14,1,315339.375000,365339.375000
4,2,160,15,1,315339.375000,365339.375000
4,2,160,16,0,315339.375000,365339.375000
4,2,160,17,0,315339.375000,365339.375000
4,2,160,18,1,315339.375000,365339.375000
4,2,160,19,1,315339.375000,365339.375000
4,2,160,20,0,315339.375000,365339.375000
4,2,160,21,0,315339.375000,365339.375000
4,2,160,22,1,315339.375000,365339.375000
4,2,160,23,1,315339.375000,365339.375000
4,2,160,24,0,315339.375000,365339.375000
4,2,160,25,0,315339.375000,365339.375000
4,2,160,26,1,315339.375000,365339.375000
4,2,160,27,1,315339.375000,365339.375000
4,2,160,28,0,315339.375000,365339.375000
4,2,160,29,0,315339.375000,365339.375000
4,2,160,30,1,315339.375000,365339.375000
