stride	Fermi	Kepler_4byte	Kepler_8byte	Maxwell
0	49.59375	46.75	46.75	28.034375
2	87	46.75	46.75	30.015625
4	161.8125	81.625	81.625	34.015625
6	87	81.625	46.75	30.0375
8	311.4375	96.15625	96.15625	42.025
10	87	66.125	46.75	30.015625
12	161.8125	96.15625	66.125	34.015625
14	87	66.125	46.75	30.015625
16	610.6875	158.15625	158.15625	58.025
18	87	66.125	46.75	30.015625
20	161.8125	96.15625	66.125	34.015625
22	87	66.125	46.75	30.015625
24	311.4375	158.15625	96.15625	42.017187
26	87	66.125	46.75	30.025
28	161.8125	96.15625	66.125	34.015625
30	87	81.625	46.75	30.015625
32	1209.1875	266.65625	266.65625	90.025
34	87	81.625	46.75	30.025
36	161.8125	96.15625	66.125	34.015625
38	87	81.625	46.75	30.015625
40	311.4375	158.15625	96.15625	42.025
42	87	66.125	46.75	30.015625
44	161.8125	96.15625	66.125	34.015625
46	87	66.125	46.75	30.015625
48	610.6875	266.65625	158.15625	58.015625
50	87	81.625	46.75	30.015625
52	161.8125	96.15625	66.125	34.015625
54	87	81.625	46.75	30.015625
56	311.4375	158.15625	96.15625	42.025
58	87	66.125	46.75	30.015625
60	161.8125	96.15625	66.125	34.015625
62	87	69.225	46.75	30.035937
64	1209.1875	483.65625	483.65625	90.025
